X,Y,device_id,Desc_,UpdateDate,UpdateTime,UTCoffset,linear_reference,Route,ImageName,ImageURL,VideoURL,ORG,latitude,longitude,Type,FID,REGION,RECORDED,COMMON_ID,FUNCTION
-10276403.1328357,5062077.99644648,59558389,RWIS - IA 92 MM 199 @ Sigourney,20260531,185928,-500,197.394875889587,IA 92,R40: IA 92 Bridge,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_40-03.jpg,,IADOT,41.336333,-92.3145,RWIS,510454,RWIS Cameras,E,RWIS_40,RWIS
-10276403.1328357,5062077.99644648,59558389,RWIS - IA 92 MM 199 @ Sigourney,20260531,185928,-500,197.394875889587,IA 92,R40: East View,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_40-04.jpg,,IADOT,41.336333,-92.3145,RWIS,510455,RWIS Cameras,E,RWIS_40,RWIS
-10402205.6233396,5161796.76143016,59558390,NV - US 30 @ MM 157.1 (S 11th St),20260531,185928,-500,157.067796187856,US 30,NV - US 30 @ MM 157.1 (S 11th St),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/nvtv04hd.jpeg,https://video4.iowadot.gov:8888/ames/nvtv04lb/playlist.m3u8,IADOT,42.005456,-93.444603,Iowa DOT,510456,Ames/Boone/Nevada,Y,NVTV04,General
-10674614.9926624,5046660.26138867,59558394,CB - I-80 @ MM 1 (West I-29 Interchange - E),20260531,185928,-500,1.00539814331436,I-80,CB - I-80 @ MM 1 (West I-29 Interchange - E),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/cbtv50hd.jpeg,https://video2.iowadot.gov:8888/councilbluffs/cbtv50lb/playlist.m3u8,IADOT,41.232258,-95.891698,Iowa DOT,510457,Council Bluffs,Y,CBTV50,General
-10544883.4807309,5085828.62772597,59558391,RWIS - I-80 MM 72 @ Adair,20260531,185928,-500,71.7472272346642,I-80,R0: I-80 East,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_0-00.jpg,,IADOT,41.496333,-94.7263,RWIS,510458,RWIS Cameras,E,RWIS_0,RWIS
-10544883.4807309,5085828.62772597,59558391,RWIS - I-80 MM 72 @ Adair,20260531,185928,-500,71.7472272346642,I-80,R0: I-80 Bridges,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_0-01.jpg,,IADOT,41.496333,-94.7263,RWIS,510459,RWIS Cameras,E,RWIS_0,RWIS
-10544883.4807309,5085828.62772597,59558391,RWIS - I-80 MM 72 @ Adair,20260531,185928,-500,71.7472272346642,I-80,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RWIS/RWIS_0-02.jpg,,IADOT,41.496333,-94.7263,RWIS,510460,RWIS Cameras,E,RWIS_0,RWIS
-10544883.4807309,5085828.62772597,59558391,RWIS - I-80 MM 72 @ Adair,20260531,185928,-500,71.7472272346642,I-80,R0: I-80 West,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_0-03.jpg,,IADOT,41.496333,-94.7263,RWIS,510461,RWIS Cameras,E,RWIS_0,RWIS
-10265820.1001654,5228461.03189411,59558397,WL - I-380 @ MM 66.5 (S Raymond Rd),20260531,185928,-500,66.487224977722,I-380,WL - I-380 @ MM 66.5 (S Raymond Rd),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/wltv11hd.jpeg,https://video4.iowadot.gov:8888/waterloo/wltv11lb/playlist.m3u8,IADOT,42.448897,-92.219431,Iowa DOT,510462,Waterloo,Y,WLTV11,General
-10408069.4888366,5101064.74294135,59558398,DM - US 65 @ MM 78.2 (University Ave),20260531,185928,-500,78.1874985622003,US 65,DM - US 65 @ MM 78.2 (University Ave),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/dmtv028hd.jpeg,https://video3.iowadot.gov:8888/ankeny/dmtv028lb/playlist.m3u8,IADOT,41.598766,-93.497279,Iowa DOT,510463,Des Moines,Y,DMTV028,General
-10668414.7196642,5045437.96804833,59558399,CB - I-29 @ MM 48.2 (N of US 275),20260531,185928,-500,48.2266446042098,I-29,CB - I-29 @ MM 48.2 (N of US 275),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/cbtv67hd.jpeg,https://video2.iowadot.gov:8888/councilbluffs/cbtv67lb/playlist.m3u8,IADOT,41.224,-95.836,Iowa DOT,510464,Council Bluffs,Y,CBTV67,General
-10242361.6325511,5114307.69094598,59558396,RWIS - IA 149 MM 66 @ Williamsburg,20260531,185928,-500,65.8226492220981,IA 149,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RWIS/RWIS_48-00.jpg,,IADOT,41.687667,-92.0087,RWIS,510465,RWIS Cameras,E,RWIS_48,RWIS
-10242361.6325511,5114307.69094598,59558396,RWIS - IA 149 MM 66 @ Williamsburg,20260531,185928,-500,65.8226492220981,IA 149,R48: South View,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_48-01.jpg,,IADOT,41.687667,-92.0087,RWIS,510466,RWIS Cameras,E,RWIS_48,RWIS
-10242361.6325511,5114307.69094598,59558396,RWIS - IA 149 MM 66 @ Williamsburg,20260531,185928,-500,65.8226492220981,IA 149,R48: I-80 Bridges,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_48-02.jpg,,IADOT,41.687667,-92.0087,RWIS,510467,RWIS Cameras,E,RWIS_48,RWIS
-10242361.6325511,5114307.69094598,59558396,RWIS - IA 149 MM 66 @ Williamsburg,20260531,185928,-500,65.8226492220981,IA 149,R48: I-80 Ramp,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_48-03.jpg,,IADOT,41.687667,-92.0087,RWIS,510468,RWIS Cameras,E,RWIS_48,RWIS
-10242361.6325511,5114307.69094598,59558396,RWIS - IA 149 MM 66 @ Williamsburg,20260531,185928,-500,65.8226492220981,IA 149,R48: I-80 Road,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_48-04.jpg,,IADOT,41.687667,-92.0087,RWIS,510469,RWIS Cameras,E,RWIS_48,RWIS
